YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY
2015,1,1,4,F9,756,N948FR,PHX,DEN,0603,0603,0,25,0628,107,79,602,0747,7,0750,0754,4,0,0,X,0,0,0,0,0
2015,1,1,4,EV,3961,N16151,ORD,TYS,1806,1800,-6,14,1814,98,68,475,2022,4,2044,2026,-18,0,0,X,0,0,0,0,0
2015,1,1,4,AA,164,N790AA,SFO,JFK,0850,1203,193,21,1224,340,306,2586,2030,14,1730,2044,194,0,0,X,1,0,193,0,0
2015,1,2,5,UA,1539,N36272,PHL,IAH,0744,0744,0,27,0811,224,199,1325,1030,13,1028,1043,15,0,0,X,15,0,0,0,0
2015,1,1,4,AA,1115,N486AA,DFW,MFE,1640,1656,16,12,1708,90,82,469,1830,3,1810,1833,23,0,0,X,7,0,0,16,0
2015,1,1,4,WN,48,N557WN,DAL,DCA,1945,2020,35,8,2028,165,122,1184,2330,5,2330,2335,5,0,0,X,0,0,0,0,0
2015,1,1,4,AS,335,N705AS,SJC,SEA,1500,1454,-6,10,1504,120,105,697,1649,6,1700,1655,-5,0,0,X,0,0,0,0,0
2015,1,2,5,US,433,N663AW,JFK,PHX,0630,0626,-4,22,0648,348,328,2153,1016,13,1018,1029,11,0,0,X,0,0,0,0,0
2015,1,1,4,WN,1952,N8640D,PHX,IND,1010,1012,2,21,1033,195,157,1488,1510,5,1525,1515,-10,0,0,X,0,0,0,0,0
2015,1,1,4,US,1950,N704US,FLL,PHL,1150,1142,-8,18,1200,165,136,992,1416,3,1435,1419,-16,0,0,X,0,0,0,0,0
2015,1,1,4,UA,207,N446UA,IAH,LAX,0902,0912,10,19,0931,228,189,1379,1040,13,1050,1053,3,0,0,X,0,0,0,0,0
2015,1,2,5,WN,251,N521SW,AUS,DAL,0820,0820,0,14,0834,60,33,189,0907,6,0920,0913,-7,0,0,X,0,0,0,0,0
2015,1,1,4,US,475,N172US,CLT,SFO,2005,2005,0,14,2019,341,296,2296,2215,12,2246,2227,-19,0,0,X,0,0,0,0,0
2015,1,1,4,NK,912,N521NK,MCO,ORD,1718,1718,0,16,1734,182,157,1005,1911,8,1920,1919,-1,0,0,X,0,0,0,0,0
2015,1,2,5,OO,4539,N461SW,TUS,SLC,0830,0825,-5,21,0846,119,100,601,1026,5,1029,1031,2,0,0,X,0,0,0,0,0
2015,1,1,4,MQ,2877,N675MQ,ORD,BNA,1035,1040,5,25,1105,83,60,409,1205,5,1158,1210,12,0,0,X,0,0,0,0,0
2015,1,1,4,WN,277,N658SW,MCO,MDW,1205,1158,-7,19,1217,170,154,990,1351,5,1355,1356,1,0,0,X,0,0,0,0,0
2015,1,1,4,B6,431,N508JB,LGA,SRQ,1330,1406,36,13,1419,191,157,1047,1656,4,1641,1700,19,0,0,X,0,0,16,3,0
2015,1,1,4,UA,303,N434UA,EWR,DEN,0919,0917,-2,13,0930,276,258,1605,1148,30,1155,1218,23,0,0,X,23,0,0,0,0
2015,1,1,4,EV,4201,N16919,DAY,EWR,1015,1011,-4,9,1020,110,77,533,1137,6,1205,1143,-22,0,0,X,0,0,0,0,0
2015,1,1,4,UA,1682,N16703,EWR,FLL,2110,2128,18,11,2139,189,151,1065,0010,3,0019,0013,-6,0,0,X,0,0,0,0,0
2015,1,1,4,EV,4937,N748EV,DTW,MCI,1205,1204,-1,16,1220,132,100,629,1300,3,1317,1303,-14,0,0,X,0,0,0,0,0
2015,1,1,4,EV,5961,N15983,SCE,ORD,0745,0737,-8,10,0747,117,104,528,0831,5,0842,0836,-6,0,0,X,0,0,0,0,0
2015,1,1,4,B6,1036,N279JB,SJU,STT,1600,1552,-8,13,1605,37,16,68,1621,11,1637,1632,-5,0,0,X,0,0,0,0,0
2015,1,1,4,OO,6585,N899SK,PSP,PHX,1025,1025,0,22,1047,63,45,261,1232,6,1228,1238,10,0,0,X,0,0,0,0,0
2015,1,1,4,EV,4273,N17115,ORD,MCI,1615,1609,-6,14,1623,99,74,403,1737,6,1754,1743,-11,0,0,X,0,0,0,0,0
2015,1,1,4,WN,882,N233LV,ATL,RIC,1425,1423,-2,14,1437,90,69,481,1546,3,1555,1549,-6,0,0,X,0,0,0,0,0
2015,1,1,4,DL,2264,N371NB,LAX,MEM,1825,1820,-5,16,1836,213,190,1619,2346,4,2358,2350,-8,0,0,X,0,0,0,0,0
2015,1,1,4,MQ,3545,N653MQ,EYW,MIA,1811,1759,-12,9,1808,45,25,125,1833,9,1856,1842,-14,0,0,X,0,0,0,0,0
2015,1,1,4,WN,1172,N926WN,AUS,MDW,1140,1141,1,15,1156,155,117,972,1353,4,1415,1357,-18,0,0,X,0,0,0,0,0
2015,1,1,4,B6,917,N606JB,BOS,JFK,0545,0543,-2,12,0555,77,44,187,0639,10,0702,0649,-13,0,0,X,0,0,0,0,0
2015,1,2,5,US,639,N187US,FLL,CLT,1020,1016,-4,15,1031,121,93,631,1204,7,1221,1211,-10,0,0,X,0,0,0,0,0
2015,1,1,4,DL,2262,N180DN,LAX,JFK,1405,1401,-4,20,1421,318,278,2475,2159,5,2223,2204,-19,0,0,X,0,0,0,0,0
2015,1,2,5,EV,5221,N884AS,DTW,BTV,1020,1015,-5,16,1031,106,87,537,1158,5,1206,1203,-3,0,0,X,0,0,0,0,0
2015,1,1,4,WN,573,N364SW,TUL,PHX,0920,0918,-2,10,0928,165,154,935,1102,5,1105,1107,2,0,0,X,0,0,0,0,0
2015,1,1,4,B6,1022,N552JB,PBI,BOS,1334,1343,9,13,1356,181,162,1197,1638,4,1635,1642,7,0,0,X,0,0,0,0,0
2015,1,1,4,WN,653,N969WN,SFO,DEN,1140,1200,20,12,1212,150,130,967,1522,6,1510,1528,18,0,0,X,0,0,18,0,0
2015,1,2,5,HA,21,N396HA,SEA,HNL,0845,0837,-8,14,0851,375,350,2677,1241,14,1300,1255,-5,0,0,X,0,0,0,0,0
2015,1,2,5,UA,1494,N13716,DTW,IAH,0826,0827,1,18,0845,199,184,1075,1049,18,1045,1107,22,0,0,X,22,0,0,0,0
2015,1,1,4,MQ,3384,N850MQ,LGA,GSO,1740,1740,0,30,1810,98,75,461,1925,5,1918,1930,12,0,0,X,0,0,0,0,0
2015,1,2,5,OO,6377,N916SW,DEN,DSM,1015,NA,NA,NA,NA,102,NA,589,NA,NA,1257,NA,NA,0,1,C,0,0,0,0,0
2015,1,1,4,WN,877,N292WN,DTW,MDW,2125,2122,-3,6,2128,80,50,228,2118,33,2145,2151,6,0,0,X,0,0,0,0,0
2015,1,2,5,DL,1556,N957DN,SRQ,ATL,0705,0700,-5,14,0714,98,67,444,0821,10,0843,0831,-12,0,0,X,0,0,0,0,0
2015,1,1,4,DL,2139,N989DL,DCA,ATL,1800,1754,-6,14,1808,124,88,547,1936,8,2004,1944,-20,0,0,X,0,0,0,0,0
2015,1,2,5,B6,921,N521JB,BOS,PBI,0925,0928,3,13,0941,205,178,1197,1239,2,1250,1241,-9,0,0,X,0,0,0,0,0
2015,1,1,4,DL,786,N369NW,DFW,MSP,0800,0858,58,35,0933,142,100,852,1113,4,1022,1117,55,0,0,X,0,0,37,0,18
2015,1,1,4,WN,4986,N250WN,DAL,HOU,1400,1406,6,11,1417,60,47,239,1504,4,1500,1508,8,0,0,X,0,0,0,0,0
2015,1,1,4,US,507,N765US,SNA,PHX,1000,0954,-6,8,1002,71,51,338,1153,6,1211,1159,-12,0,0,X,0,0,0,0,0
2015,1,1,4,AA,1650,N397AA,MCO,MIA,1015,1011,-4,16,1027,71,39,192,1106,8,1126,1114,-12,0,0,X,0,0,0,0,0
2015,1,2,5,UA,217,N514UA,IAD,SFO,0910,0946,36,10,0956,359,330,2419,1226,9,1209,1235,26,0,0,X,0,0,26,0,0
2015,1,2,5,EV,3933,N13123,LIT,ORD,1041,1058,17,9,1107,109,74,552,1221,9,1230,1230,0,0,0,X,0,0,0,0,0
2015,1,1,4,WN,2520,N652SW,ABQ,DAL,2125,2159,34,8,2207,90,80,580,0027,3,2355,0030,35,0,0,X,1,0,0,34,0
2015,1,1,4,WN,2787,N910WN,PIT,FLL,0600,0559,-1,9,0608,170,132,994,0820,4,0850,0824,-26,0,0,X,0,0,0,0,0
2015,1,1,4,AA,2304,N499AA,TUS,DFW,1455,1454,-1,13,1507,130,100,813,1747,14,1805,1801,-4,0,0,X,0,0,0,0,0
2015,1,1,4,HA,125,N484HA,OGG,HNL,2037,2037,0,9,2046,34,23,100,2109,6,2111,2115,4,0,0,X,0,0,0,0,0
2015,1,2,5,DL,1798,N938DL,ATL,EWR,1002,0954,-8,27,1021,136,100,746,1201,4,1218,1205,-13,0,0,X,0,0,0,0,0
2015,1,1,4,UA,1727,N57855,SFO,OGG,1620,1624,4,16,1640,320,300,2338,1940,5,1940,1945,5,0,0,X,0,0,0,0,0
2015,1,1,4,UA,980,N468UA,IAD,DEN,1710,1711,1,14,1725,240,231,1452,1916,33,1910,1949,39,0,0,X,39,0,0,0,0
2015,1,1,4,UA,1057,N69835,DEN,PDX,1901,1941,40,29,2010,171,131,991,2121,5,2052,2126,34,0,0,X,0,0,0,14,20
2015,1,1,4,OO,6590,N506CA,PHX,FLG,2057,2114,17,23,2137,44,29,119,2206,5,2141,2211,30,0,0,X,13,0,0,17,0
2015,1,1,4,US,1971,N822AW,CLT,SYR,2215,2217,2,14,2231,100,83,603,2354,3,2355,2357,2,0,0,X,0,0,0,0,0
2015,1,2,5,UA,709,N428UA,ORD,SAN,0810,0910,60,21,0931,270,230,1723,1121,2,1040,1123,43,0,0,X,0,0,43,0,0
2015,1,1,4,WN,805,N923WN,SNA,SJC,0945,0942,-3,8,0950,75,58,342,1048,3,1100,1051,-9,0,0,X,0,0,0,0,0
2015,1,1,4,AS,611,N520AS,LAS,SEA,1910,1859,-11,19,1918,155,135,867,2133,3,2145,2136,-9,0,0,X,0,0,0,0,0
2015,1,1,4,HA,276,N489HA,HNL,OGG,1157,1152,-5,22,1214,39,26,100,1240,4,1236,1244,8,0,0,X,0,0,0,0,0
2015,1,2,5,DL,1518,N651DL,MCO,ATL,0620,0616,-4,17,0633,91,61,404,0734,6,0751,0740,-11,0,0,X,0,0,0,0,0
2015,1,1,4,WN,647,N7739A,SAT,DEN,2010,2030,20,6,2036,135,126,794,2142,6,2125,2148,23,0,0,X,3,0,2,18,0
2015,1,1,4,NK,711,N503NK,MYR,LGA,1414,1421,7,11,1432,102,80,563,1552,22,1556,1614,18,0,0,X,18,0,0,0,0
2015,1,1,4,OO,4540,N445SW,PLN,DTW,1730,1725,-5,14,1739,78,42,243,1821,4,1848,1825,-23,0,0,X,0,0,0,0,0
2015,1,2,5,WN,2414,N968WN,SFO,PHX,1000,0957,-3,18,1015,115,91,651,1246,6,1255,1252,-3,0,0,X,0,0,0,0,0
2015,1,1,4,DL,2558,N927AT,EWR,ATL,0900,0856,-4,24,0920,165,115,746,1115,6,1145,1121,-24,0,0,X,0,0,0,0,0
2015,1,1,4,DL,2133,N322US,CLT,ATL,1540,1551,11,12,1603,75,39,226,1642,11,1655,1653,-2,0,0,X,0,0,0,0,0
2015,1,2,5,WN,1466,N258WN,LAX,PHX,0710,0716,6,7,0723,75,62,370,0925,6,0925,0931,6,0,0,X,0,0,0,0,0
2015,1,1,4,MQ,2821,N504MQ,DFW,MAF,1810,NA,NA,NA,NA,68,NA,309,NA,NA,1918,NA,NA,0,1,B,0,0,0,0,0
2015,1,1,4,OO,7362,N561SW,SLC,CNY,0940,0932,-8,11,0943,63,53,184,1036,4,1043,1040,-3,0,0,X,0,0,0,0,0
2015,1,2,5,EV,4213,N16999,MHT,ORD,0600,0557,-3,19,0616,173,155,843,0751,5,0753,0756,3,0,0,X,0,0,0,0,0
2015,1,2,5,AA,248,N5EKAA,SEA,DFW,0905,0901,-4,18,0919,230,199,1660,1438,12,1455,1450,-5,0,0,X,0,0,0,0,0
2015,1,1,4,AA,1180,N3AYAA,SFO,DFW,0600,NA,NA,NA,NA,210,NA,1464,NA,NA,1130,NA,NA,0,1,B,0,0,0,0,0
2015,1,1,4,AA,235,N3DRAA,JFK,SEA,1835,1908,33,27,1935,390,370,2422,2245,7,2205,2252,47,0,0,X,14,0,33,0,0
2015,1,2,5,AA,72,N5EJAA,MCO,DFW,1020,1018,-2,33,1051,175,142,985,1213,17,1215,1230,15,0,0,X,15,0,0,0,0
2015,1,1,4,US,730,N914UY,MIA,CLT,1459,1457,-2,14,1511,126,100,650,1651,9,1705,1700,-5,0,0,X,0,0,0,0,0
2015,1,1,4,DL,1782,N915DE,ATL,LGA,1145,1145,0,11,1156,133,96,762,1332,22,1358,1354,-4,0,0,X,0,0,0,0,0
2015,1,2,5,WN,3415,N475WN,PHX,SDF,1005,1028,23,12,1040,190,170,1506,1530,4,1515,1534,19,0,0,X,0,0,19,0,0
2015,1,2,5,MQ,2799,N900MQ,DFW,ACT,0920,0946,26,15,1001,33,23,89,1024,1,0953,1025,32,0,0,X,6,0,0,25,1
2015,1,1,4,AA,1650,N397AA,MIA,MCO,0720,0729,9,15,0744,65,34,192,0818,4,0825,0822,-3,0,0,X,0,0,0,0,0
2015,1,2,5,B6,287,N636JB,BOS,LAX,0800,0757,-3,57,0854,395,371,2611,1205,6,1135,1211,36,0,0,X,36,0,0,0,0
2015,1,2,5,DL,1764,N949DN,DEN,MSP,0600,0608,8,59,0707,134,90,680,0937,7,0914,0944,30,0,0,X,22,0,8,0,0
2015,1,1,4,B6,904,N633JB,RSW,BDL,1600,1616,16,11,1627,170,149,1180,1856,4,1850,1900,10,0,0,X,0,0,0,0,0
2015,1,2,5,B6,584,N527JB,MCO,JFK,0937,0935,-2,28,1003,142,113,944,1156,6,1159,1202,3,0,0,X,0,0,0,0,0
2015,1,2,5,UA,1121,N78524,DSM,DEN,0600,0606,6,28,0634,123,89,589,0703,10,0703,0713,10,0,0,X,0,0,0,0,0
2015,1,1,4,B6,1290,N523JB,SJU,EWR,1746,1733,-13,30,1803,252,246,1608,2109,7,2058,2116,18,0,0,X,18,0,0,0,0
2015,1,1,4,US,793,N840AW,CLT,STL,2005,2015,10,18,2033,118,91,575,2104,5,2103,2109,6,0,0,X,0,0,0,0,0
2015,1,2,5,AA,25,N3FAAA,BOS,LAX,0900,0859,-1,19,0918,395,376,2611,1234,9,1235,1243,8,0,0,X,0,0,0,0,0
2015,1,1,4,MQ,2805,N698MQ,ORD,FWA,1615,1620,5,9,1629,48,28,157,1757,4,1803,1801,-2,0,0,X,0,0,0,0,0
2015,1,1,4,EV,2536,N903EV,DFW,MLU,2000,2034,34,27,2101,65,43,293,2144,4,2105,2148,43,0,0,X,9,0,28,6,0
2015,1,2,5,DL,2324,N126DL,SLC,ATL,0040,0041,1,14,0055,216,178,1590,0553,10,0616,0603,-13,0,0,X,0,0,0,0,0
2015,1,1,4,US,1976,N121UW,BDL,CLT,1715,1748,33,11,1759,128,104,644,1943,7,1923,1950,27,0,0,X,0,0,15,12,0
2015,1,2,5,WN,629,N8629A,DEN,TPA,1040,1105,25,15,1120,195,179,1506,1619,5,1555,1624,29,0,0,X,4,0,21,4,0
2015,1,2,5,DL,2282,N933DL,BOS,ATL,0600,0558,-2,23,0621,191,151,946,0852,25,0911,0917,6,0,0,X,0,0,0,0,0
2015,1,1,4,AA,2370,N575AA,IAH,DFW,1825,1843,18,15,1858,75,39,224,1937,15,1940,1952,12,0,0,X,0,0,0,0,0
2015,1,1,4,DL,428,N995AT,JFK,TPA,0800,0753,-7,20,0813,191,150,1005,1043,3,1111,1046,-25,0,0,X,0,0,0,0,0
2015,1,1,4,F9,1070,N227FR,ORD,ATL,0730,0835,65,15,0850,110,82,606,1112,9,1020,1121,61,0,0,X,0,0,61,0,0
2015,1,1,4,OO,4682,N187PQ,SAT,DTW,0725,0720,-5,12,0732,176,154,1214,1106,11,1121,1117,-4,0,0,X,0,0,0,0,0
2015,1,1,4,EV,4090,N12172,BNA,IAH,1456,1443,-13,7,1450,139,134,657,1704,15,1715,1719,4,0,0,X,0,0,0,0,0
2015,1,2,5,UA,1410,N12238,LAX,IAH,0543,0551,8,15,0606,192,168,1379,1054,8,1055,1102,7,0,0,X,0,0,0,0,0
2015,1,1,4,US,1769,N637AW,IAH,CLT,1540,1539,-1,9,1548,141,107,912,1835,11,1901,1846,-15,0,0,X,0,0,0,0,0
2015,1,1,4,WN,646,N8600F,PHX,MDW,1605,1611,6,10,1621,200,162,1444,2003,5,2025,2008,-17,0,0,X,0,0,0,0,0
2015,1,1,4,DL,2565,N3764D,LAS,SLC,1040,1040,0,13,1053,78,61,368,1254,3,1258,1257,-1,0,0,X,0,0,0,0,0
2015,1,1,4,OO,3493,N227AG,SBA,PDX,1720,1714,-6,7,1721,135,116,784,1917,3,1935,1920,-15,0,0,X,0,0,0,0,0
2015,1,1,4,DL,583,N557NW,BOS,DTW,0845,0843,-2,15,0858,144,111,632,1049,5,1109,1054,-15,0,0,X,0,0,0,0,0
2015,1,1,4,DL,1355,N308DE,EYW,ATL,1216,1207,-9,30,1237,121,99,646,1416,7,1417,1423,6,0,0,X,0,0,0,0,0
2015,1,2,5,OO,4732,N821SK,BNA,DTW,0630,0645,15,12,0657,102,72,456,0909,8,0912,0917,5,0,0,X,0,0,0,0,0
2015,1,1,4,EV,4510,N15985,EWR,MKE,1223,1218,-5,16,1234,149,138,725,1352,5,1352,1357,5,0,0,X,0,0,0,0,0
2015,1,1,4,DL,751,N371NB,SLC,LAX,1650,1647,-3,16,1703,115,77,590,1720,11,1745,1731,-14,0,0,X,0,0,0,0,0
2015,1,1,4,EV,4557,N13994,IAH,SDF,0846,0843,-3,19,0902,131,104,788,1146,12,1157,1158,1,0,0,X,0,0,0,0,0
2015,1,1,4,B6,843,N353JB,DCA,CHS,1205,1151,-14,12,1203,103,71,444,1314,17,1348,1331,-17,0,0,X,0,0,0,0,0
2015,1,1,4,OO,5537,N471CA,DEN,FAT,2200,2247,47,50,2337,147,107,844,0024,7,2327,0031,64,0,0,X,17,0,25,22,0
2015,1,1,4,AA,233,N3BEAA,BWI,MIA,0600,0643,43,21,0704,163,124,946,0908,6,0843,0914,31,0,0,X,0,0,31,0,0
2015,1,1,4,EV,5805,N13964,MFE,IAH,1917,1911,-6,9,1920,73,49,316,2009,13,2030,2022,-8,0,0,X,0,0,0,0,0
2015,1,1,4,DL,1601,N931DL,BOS,ATL,0945,0944,-1,18,1002,184,157,946,1239,5,1249,1244,-5,0,0,X,0,0,0,0,0
2015,1,2,5,AA,1699,N454AA,TPA,DFW,0700,0654,-6,14,0708,170,136,929,0824,11,0850,0835,-15,0,0,X,0,0,0,0,0
2015,1,1,4,WN,141,N409WN,MDW,ICT,2005,2026,21,17,2043,115,101,589,2224,12,2200,2236,36,0,0,X,15,0,4,17,0
2015,1,1,4,B6,841,N612JB,JFK,SAV,0755,0753,-2,12,0805,139,109,718,0954,3,1014,0957,-17,0,0,X,0,0,0,0,0
2015,1,1,4,OO,5263,N742SK,DAL,IAH,1533,1524,-9,15,1539,69,46,216,1625,15,1642,1640,-2,0,0,X,0,0,0,0,0
2015,1,2,5,US,466,N169UW,BOS,CLT,0810,0809,-1,49,0858,155,120,728,1058,3,1045,1101,16,0,0,X,16,0,0,0,0
2015,1,1,4,DL,825,N906DA,GRR,MSP,1325,1331,6,13,1344,99,73,408,1357,3,1404,1400,-4,0,0,X,0,0,0,0,0
2015,1,1,4,B6,233,N247JB,BTV,JFK,0605,0553,-12,12,0605,88,50,266,0655,22,0733,0717,-16,0,0,X,0,0,0,0,0
2015,1,1,4,UA,1633,N16701,EWR,ATL,0826,0825,-1,12,0837,150,122,746,1039,9,1056,1048,-8,0,0,X,0,0,0,0,0
2015,1,1,4,B6,1979,N309JB,DCA,FLL,1710,1703,-7,13,1716,161,127,899,1923,5,1951,1928,-23,0,0,X,0,0,0,0,0
2015,1,1,4,WN,2849,N8328A,LAX,MDW,1425,1509,44,7,1516,240,215,1750,2051,7,2025,2058,33,0,0,X,0,0,9,24,0
2015,1,1,4,WN,914,N754SW,LAX,LAS,1345,1358,13,7,1405,65,46,236,1451,6,1450,1457,7,0,0,X,0,0,0,0,0
2015,1,1,4,OO,5380,N903SW,MAF,DEN,1723,1808,45,12,1820,112,94,563,1854,23,1815,1917,62,0,0,X,17,0,0,45,0
2015,1,1,4,DL,2611,N623DL,DTW,PBI,0800,0754,-6,39,0833,185,135,1086,1048,9,1105,1057,-8,0,0,X,0,0,0,0,0
2015,1,1,4,WN,999,N203WN,LGA,CAK,1930,1930,0,14,1944,105,77,397,2101,4,2115,2105,-10,0,0,X,0,0,0,0,0
2015,1,1,4,UA,796,N494UA,IAD,LAS,0811,0809,-2,9,0818,320,305,2065,1023,6,1031,1029,-2,0,0,X,0,0,0,0,0
2015,1,2,5,NK,168,N608NK,PHX,ORD,0125,0118,-7,12,0130,204,154,1440,0504,27,0549,0531,-18,0,0,X,0,0,0,0,0
2015,1,1,4,OO,6235,N114SY,AUS,SFO,0600,0556,-4,21,0617,249,213,1504,0750,3,0809,0753,-16,0,0,X,0,0,0,0,0
2015,1,2,5,OO,5242,N708SK,BOI,LAX,0600,0559,-1,16,0615,130,97,674,0652,7,0710,0659,-11,0,0,X,0,0,0,0,0
2015,1,1,4,US,687,N650AW,PHX,EWR,0945,0943,-2,17,1000,278,228,2133,1548,6,1623,1554,-29,0,0,X,0,0,0,0,0
2015,1,1,4,WN,336,N490WN,SAN,SEA,0800,0755,-5,15,0810,175,148,1050,1038,7,1055,1045,-10,0,0,X,0,0,0,0,0
2015,1,2,5,WN,1989,N438WN,LAS,MKE,0755,0800,5,14,0814,205,180,1524,1314,6,1320,1320,0,0,0,X,0,0,0,0,0
2015,1,2,5,WN,2469,N775SW,CAK,BOS,0735,0732,-3,10,0742,110,67,549,0849,10,0925,0859,-26,0,0,X,0,0,0,0,0
2015,1,1,4,WN,3555,N929WN,ABQ,DAL,1840,1950,70,8,1958,95,80,580,2218,3,2115,2221,66,0,0,X,0,0,2,64,0
2015,1,2,5,WN,3500,N299WN,OKC,DAL,0705,0700,-5,19,0719,65,41,181,0800,3,0810,0803,-7,0,0,X,0,0,0,0,0
2015,1,1,4,DL,2501,N960DN,MSP,GEG,1535,1534,-1,13,1547,196,160,1175,1627,7,1651,1634,-17,0,0,X,0,0,0,0,0
2015,1,2,5,UA,586,N415UA,IAH,TPA,0720,0717,-3,17,0734,124,100,787,1014,6,1024,1020,-4,0,0,X,0,0,0,0,0
2015,1,1,4,WN,799,N7736A,STL,MCO,1410,1405,-5,6,1411,135,119,882,1710,5,1725,1715,-10,0,0,X,0,0,0,0,0
2015,1,1,4,WN,494,N738CB,LAS,SNA,0710,0706,-4,11,0717,65,38,226,0755,5,0815,0800,-15,0,0,X,0,0,0,0,0
2015,1,1,4,B6,1256,N292JB,IAD,BOS,2059,2050,-9,10,2100,80,60,413,2200,4,2219,2204,-15,0,0,X,0,0,0,0,0
2015,1,1,4,WN,116,N608SW,SAT,ELP,1855,1906,11,10,1916,95,75,496,1931,4,1930,1935,5,0,0,X,0,0,0,0,0
2015,1,2,5,EV,6144,N15912,ORD,ICT,0805,0846,41,22,0908,121,101,588,1049,16,1006,1105,59,0,0,X,53,0,6,0,0
2015,1,1,4,US,2047,N104UW,CLT,MSY,0915,0911,-4,21,0932,119,100,651,1012,4,1014,1016,2,0,0,X,0,0,0,0,0
2015,1,1,4,AA,2309,N501AA,DFW,ORD,1320,1319,-1,38,1357,135,100,802,1537,10,1535,1547,12,0,0,X,0,0,0,0,0
2015,1,1,4,EV,5249,N859AS,ATL,MBS,1900,1856,-4,12,1908,125,92,683,2040,3,2105,2043,-22,0,0,X,0,0,0,0,0
2015,1,1,4,EV,5668,N11109,IAH,ABQ,1741,1738,-3,19,1757,140,118,744,1855,4,1901,1859,-2,0,0,X,0,0,0,0,0
2015,1,1,4,EV,4361,N13903,EWR,TYS,1844,1909,25,14,1923,133,115,631,2118,4,2057,2122,25,0,0,X,25,0,0,0,0
2015,1,2,5,NK,882,N627NK,SJU,MCO,0958,1023,25,19,1042,191,160,1189,1222,11,1209,1233,24,0,0,X,24,0,0,0,0
2015,1,1,4,US,817,N633AW,TPA,CLT,1905,1902,-3,11,1913,99,72,507,2025,7,2044,2032,-12,0,0,X,0,0,0,0,0
